書名,著者名,出版社,請求記号,ISBN,紀伊國屋
瓦屋根,NHK「美の壺」制作班∥編,日本放送出版協会,524-ﾆ ,4140811366,https://www.kinokuniya.co.jp/f/dsg-01-4140811366
クロスセクション 輪切り図鑑 有名な18の建物や乗物の内部を見る,スティーヴン・ビースティー画リチャード・プラット文北森俊行訳,岩波書店,524-ﾋﾞ ,4001105314,https://www.kinokuniya.co.jp/f/dsg-01-4001105314
襖,むしゃこうじみのる∥著,法政大学出版局,524-ﾑ ,4588210815,https://www.kinokuniya.co.jp/f/dsg-01-4588210815
イラストでわかる建築模型のつくり方,大脇賢次∥著,彰国社,525-ｵ ,9784395008544,https://www.kinokuniya.co.jp/f/dsg-01-9784395008544
世界で一番美しい建築デザインの教科書 ー 7人の巨匠に学ぶインテリア・家具・建築の基本,鈴木敏彦∥著、松下希和∥著中山繁信∥著,エクスナレッジ,525-ｾ ,9784767825472,https://www.kinokuniya.co.jp/f/dsg-01-9784767825472
超高層ビル つくりながら学ぶやさしい工学 1,アン・マグレガー作スコット・マグレガー作宮上茂隆訳,草思社,526-ｱ ,4794201354,https://www.kinokuniya.co.jp/f/dsg-01-4794201354
東京都新庁舎 フォトドキュメント＋計画・技術スタディ,彰国社編,彰国社,526-ｼ ,4395110703,https://www.kinokuniya.co.jp/f/dsg-01-4395110703
橋 つくりながら学ぶやさしい工学 2,アン・マグレガー作スコット・マグレガー作西岡隆訳,草思社,526-ﾂ ,4794201362,https://www.kinokuniya.co.jp/f/dsg-01-4794201362
東京スカイツリーで本当にあった心温まる物語,東京スカイツリースタッフ一同∥編,あさ出版,526-ﾄ ,9784866670508,https://www.kinokuniya.co.jp/f/dsg-01-9784866670508
日本ホテル館物語,長谷川尭著,プレジデント社,526-ﾊ ,483341533X,https://www.kinokuniya.co.jp/f/dsg-01-483341533X
光の教会 ー 安藤忠雄の現場,平松剛∥著、石堂威∥編集,建築資料研究社,526-ﾋ ,4874606962,https://www.kinokuniya.co.jp/f/dsg-01-4874606962
図解絵本東京スカイツリー ー 東京スカイツリー公認,モリナガヨウ∥作・絵,ポプラ社,526-ﾓ ,9784591128602,https://www.kinokuniya.co.jp/f/dsg-01-9784591128602
脳が若返る家づくり部屋づくり ー 生き生き暮らせるおすすめプラン36,天野彰∥著,広済堂出版,527-ｱ ,9784331517666,https://www.kinokuniya.co.jp/f/dsg-01-9784331517666
